Player,Year,Team,Stat Type
Amari Coleman,2014,CMU,Kickoff Return
Josh Jenkins,2014,ARMY,Kickoff Return
Jamal Morrow,2014,WSU,Kickoff Return
Carlos Harris,2014,UNT,Kickoff Return
Joe Craig,2014,MEM,Kickoff Return
D'Joun Smith,2014,FAU,Kickoff Return
John Armstrong,2014,WF,Kickoff Return
Derek Keaton,2014,GSU,Kickoff Return
T.J. Green,2014,CLEM,Kickoff Return
Tyler Boyd,2014,PITT,Kickoff Return
Dennis Norfleet,2014,MICH,Kickoff Return
Ty Montgomery,2014,STAN,Kickoff Return
L.T. Smith,2014,AKR,Kickoff Return
Daryl Rollins-Davis,2014,ARST,Kickoff Return
Trevor Davis,2014,CAL,Kickoff Return
Ronnie Moore,2014,BGSU,Kickoff Return
Trey Williams,2014,TAMU,Kickoff Return
Brandon Smith,2014,TXST,Kickoff Return
Evan Berry,2014,TENN,Kickoff Return
Clint Stephens,2014,BGSU,Kickoff Return
Tre Watson,2014,CAL,Kickoff Return
T.J. Logan,2014,UNC,Kickoff Return
Aregeros Turner,2015,NIU,Kickoff Return
Morgan Burns,2015,KSST,Kickoff Return
Christian McCaffrey,2015,STAN,Kickoff Return
Jakeem Grant,2015,TTU,Kickoff Return
Janarion Grant,2015,RUT,Kickoff Return
Tim White,2015,AZST,Kickoff Return
Derek Keaton,2015,GSU,Kickoff Return
Nyheim Hines,2015,NCST,Kickoff Return
Charles Nelson,2015,ORE,Kickoff Return
Darius Phillips,2015,WMU,Kickoff Return
Evan Berry,2015,TENN,Kickoff Return
Rashaad Penny,2015,SDSU,Kickoff Return
William Likely,2015,MD,Kickoff Return
James Oliphant,2015,MASS,Kickoff Return
Kylen Towner,2015,WKU,Kickoff Return
Brett Winnegan,2015,UTSA,Kickoff Return
Tristan Payton,2015,UCF,Kickoff Return
Diontae Johnson,2015,TOL,Kickoff Return
KaVontae Turpin,2015,TCU,Kickoff Return
Ryan Schadler,2015,KAN,Kickoff Return
Desmond King,2015,IOWA,Kickoff Return
DeVon Edwards,2015,DUKE,Kickoff Return
DeAndre Reaves,2015,MRSH,Kickoff Return
Adoree' Jackson,2015,USC,Kickoff Return
Michael Walker,2015,BC,Kickoff Return
Trevor Davis,2015,CAL,Kickoff Return
Brisly Estime,2015,SYR,Kickoff Return
Carlos Wiggins,2015,UNM,Kickoff Return
Elijah Mitchell,2015,NEV,Kickoff Return
Solomon Vault,2015,NW,Kickoff Return
J.D. McKissic,2015,ARST,Kickoff Return
Austin Walter,2015,RICE,Kickoff Return
Autrey Golden,2015,UTEP,Kickoff Return
Alex Ross,2015,OKLA,Kickoff Return
Darian Green,2015,BALL,Kickoff Return
C.J. Sanders,2015,ND,Kickoff Return
Dishan Romine,2015,NAVY,Kickoff Return
D.J. May,2015,WYO,Kickoff Return
Richard Leonard,2015,FIU,Kickoff Return
Brandon Smith,2015,TXST,Kickoff Return
Jeff Carr,2015,OKST,Kickoff Return
Brandon Wilson,2015,HOU,Kickoff Return
Tyler Ervin,2015,SJSU,Kickoff Return
Derrick Dick,2015,UTSA,Kickoff Return
Chico McClatcher,2015,WASH,Kickoff Return
Victor Bolden,2015,ORST,Kickoff Return
Da'Mari Scott,2015,FRES,Kickoff Return
Emmett Thomas,2015,CMU,Kickoff Return
Keelan Ewaliko,2015,HAW,Kickoff Return
Marcus Hyatt,2015,ARMY,Kickoff Return
Brandon Holloway,2015,MSST,Kickoff Return
D'Ernest Johnson,2015,USF,Kickoff Return
Tavares Martin Jr.,2015,WSU,Kickoff Return
Anthony Covington,2015,CHAR,Kickoff Return
Quay Johnson,2015,ECU,Kickoff Return
Olamide Zaccheaus,2015,UVA,Kickoff Return
Donovan Lee,2015,COL,Kickoff Return
Jae'Lon Oglesby,2015,MEM,Kickoff Return
Daje Johnson,2015,TEX,Kickoff Return
KeVonn Mabon,2015,BALL,Kickoff Return
Brandon Powell,2015,FLA,Kickoff Return
Kermit Whitfield,2015,FSU,Kickoff Return
Damon Graham,2015,IND,Kickoff Return
Kenyan Drake,2015,ALA,Kickoff Return
Frankie Williams,2015,PUR,Kickoff Return
V'Angelo Bentley,2015,ILL,Kickoff Return
Quadree Henderson,2015,PITT,Kickoff Return
Darrius Sims,2015,VAN,Kickoff Return
Jaylen Walton,2015,MISS,Kickoff Return
T.J. Logan,2015,UNC,Kickoff Return
Derrius Guice,2015,LSU,Kickoff Return
Maurice Thomas,2015,MIOH,Kickoff Return
Rodney Adams,2015,USF,Kickoff Return
Carlos Henderson,2015,LT,Kickoff Return
Ricky Fergerson,2015,APST,Kickoff Return
Scott Miller,2015,BGSU,Kickoff Return
Natrell Jamerson,2015,WISC,Kickoff Return
Teddy Ruben,2015,TROY,Kickoff Return
Xavier Johnson,2015,USA,Kickoff Return
Der'Woun Greene,2015,VT,Kickoff Return
Terrell Johnson,2015,BSU,Kickoff Return
Johnathan Ford,2015,AUB,Kickoff Return
Arkeel Newsome,2015,CONN,Kickoff Return
Jeremiah Bryson,2015,MTSU,Kickoff Return
Aaron Criswell,2015,UNLV,Kickoff Return
Deionte Gaines,2015,CSU,Kickoff Return
R.J. Shelton,2015,MSU,Kickoff Return
Van Edwards Jr.,2015,AKR,Kickoff Return
Zach Pascal,2015,ODU,Kickoff Return
Devin Fuller,2015,UCLA,Kickoff Return
Tyrell Johnson,2015,ARIZ,Kickoff Return
Raekwon James,2015,KENT,Kickoff Return
Koa Farmer,2015,PSU,Kickoff Return
Blake Banham,2015,EMU,Kickoff Return
Reggie Davis,2015,UGA,Kickoff Return
Bishop Louie,2015,TULS,Kickoff Return
Kerryon Johnson,2015,AUB,Kickoff Return
Byron Marshall,2015,ORE,Kickoff Return
Christian Kirk,2015,TAMU,Kickoff Return
Henry Bussey,2015,FAU,Kickoff Return
Cameron Scarlett,2017,STAN,Kickoff Return
Anthony Ratliff-Williams,2017,UNC,Kickoff Return
Tony Pollard,2017,MEM,Kickoff Return
Marcus Jones,2017,TROY,Kickoff Return
Marcus Green,2017,ULM,Kickoff Return
Lynn Bowden Jr.,2017,KY,Kickoff Return
Joe Reed,2017,UVA,Kickoff Return
Michael Walker,2017,BC,Kickoff Return
Marcus Simms,2017,WVU,Kickoff Return
Ashtyn Davis,2017,CAL,Kickoff Return
Myles Campbell,2017,GSU,Kickoff Return
Jaylon Jones,2017,MISS,Kickoff Return
De'Vion Warren,2017,ARK,Kickoff Return
Velus Jones Jr.,2017,USC,Kickoff Return
Elijah Lilly,2017,UNM,Kickoff Return
Chris Montgomery,2017,CHAR,Kickoff Return
Keelan Ewaliko,2017,HAW,Kickoff Return
Darnay Holmes,2017,UCLA,Kickoff Return
Sean Riley,2017,SYR,Kickoff Return
Malik Dunner,2017,BALL,Kickoff Return
Tyrell Johnson,2017,ARIZ,Kickoff Return
Raymond Calais,2017,LA,Kickoff Return
Isaiah Harper,2017,ODU,Kickoff Return
Diontae Johnson,2017,TOL,Kickoff Return
Jeff Thomas,2017,MIA,Kickoff Return
Darius Phillips,2017,WMU,Kickoff Return
Ky'Jon Tyler,2017,CCU,Kickoff Return
JD Spielman,2017,NEB,Kickoff Return
Ty Johnson,2017,MD,Kickoff Return
C.J. Sanders,2017,ND,Kickoff Return
Mike Hughes,2017,UCF,Kickoff Return
Savon Scarver,2017,USU,Kickoff Return
Shaun Wilson,2017,DUKE,Kickoff Return
Mike Jones,2017,TEM,Kickoff Return
D.J. Reed,2017,KSST,Kickoff Return
Ike Lewis,2017,APST,Kickoff Return
John Leday,2017,HOU,Kickoff Return
Noah Igbinoghene,2017,AUB,Kickoff Return
Kerrith Whyte,2017,FAU,Kickoff Return
Ryan Schadler,2017,KAN,Kickoff Return
Keion Davis,2017,MRSH,Kickoff Return
Kell Walker,2017,ARMY,Kickoff Return
Quayvon Skanes,2017,CONN,Kickoff Return
Artavis Pierce,2017,ORST,Kickoff Return
Larry Rountree III,2017,MIZZ,Kickoff Return
Terry Juniel,2017,UTEP,Kickoff Return
Keylon Stokes,2017,TULS,Kickoff Return
Jamauri Wakefield,2017,VAN,Kickoff Return
Quadree Henderson,2017,PITT,Kickoff Return
Devonte Williams,2017,IND,Kickoff Return
Rashaad Penny,2017,SDSU,Kickoff Return
Matthew Wilcox Jr.,2017,BGSU,Kickoff Return
Tyler Hall,2017,WYO,Kickoff Return
Mecole Hardman,2017,UGA,Kickoff Return
Jason Huntley,2017,NMST,Kickoff Return
Christian Kirk,2017,TAMU,Kickoff Return
Jerrod Davis,2017,CMU,Kickoff Return
Sherman Badie,2017,TULN,Kickoff Return
Nate Cottrell,2017,GT,Kickoff Return
Nyheim Hines,2017,NCST,Kickoff Return
Cedrick Wilson,2017,BSU,Kickoff Return
KaVontae Turpin,2017,TCU,Kickoff Return
Trevon Brown,2017,ECU,Kickoff Return
Daiyan Henley,2017,NEV,Kickoff Return
