Player,Team,Year,Att,Cmp,Pct,Yds,TD,TD%,Int,Sack,Rate,Stat Type
Jordan Rodgers,VAN,2012,319,191,59.9,"2,539",15,4.7,5,--,139.1,Passing
Kawaun Jakes,WKU,2012,312,200,64.1,"2,488",22,7.1,11,--,147.3,Passing
Sean Mannion,ORST,2012,309,200,64.7,"2,446",15,4.9,13,--,138.8,Passing
Everett Golson,ND,2012,318,187,58.8,"2,405",12,3.8,6,--,131.0,Passing
Tanner Price,WF,2012,410,228,55.6,"2,300",12,2.9,7,--,109.0,Passing
James Vandenberg,IOWA,2012,389,223,57.3,"2,249",7,1.8,8,--,107.7,Passing
Zach Maynard,CAL,2012,296,180,60.8,"2,214",12,4.1,10,--,130.3,Passing
Taylor McHargue,RICE,2012,325,194,59.7,"2,209",12,3.7,5,--,125.9,Passing
Ross Metheny,USA,2012,345,189,54.8,"2,148",12,3.5,12,--,111.6,Passing
Shaun Rutherford,TXST,2012,299,193,64.5,"2,137",15,5.0,5,--,137.8,Passing
Jake Medlock,FIU,2012,263,152,57.8,"2,127",13,4.9,2,--,140.5,Passing
Jeff Tuel,WSU,2012,332,211,63.6,"2,087",8,2.4,8,--,119.5,Passing
Eric Soza,UTSA,2012,282,166,58.9,"2,085",20,7.1,3,--,142.2,Passing
B.J. Daniels,USF,2012,290,165,56.9,"2,075",14,4.8,10,--,126.0,Passing
Trevone Boykin,TCU,2012,292,167,57.2,"2,054",15,5.1,10,--,126.4,Passing
Braxton Miller,OSU,2012,254,148,58.3,"2,039",15,5.9,6,--,140.5,Passing
Spencer Keith,KENT,2012,333,183,55.0,"2,021",12,3.6,10,--,111.8,Passing
Riley Nelson,BYU,2012,308,181,58.8,"2,011",13,4.2,13,--,119.1,Passing
Connor Shaw,SCAR,2012,228,154,67.5,"1,956",17,7.5,7,--,158.1,Passing
Michael Rocco,UVA,2012,266,161,60.5,"1,917",13,4.9,10,--,129.7,Passing
Jacob Karam,MEM,2012,274,176,64.2,"1,895",14,5.1,3,--,137.0,Passing
Connor Halliday,WSU,2012,291,152,52.2,"1,878",15,5.2,13,--,114.5,Passing
Sean Schroeder,HAW,2012,344,175,50.9,"1,878",11,3.2,12,--,100.3,Passing
Tyler Van Tubbergen,WMU,2012,261,159,60.9,"1,825",15,5.7,11,--,130.2,Passing
Mike Wegzyn,MASS,2012,346,182,52.6,"1,825",6,1.7,10,--,96.8,Passing
Robert Marve,PUR,2012,253,166,65.6,"1,734",15,5.9,5,--,138.8,Passing
Munchie Legaux,CINN,2012,230,120,52.2,"1,716",13,5.7,9,--,125.7,Passing
Nick Lamaison,UTEP,2012,252,126,50.0,"1,686",12,4.8,9,--,114.8,Passing
Alex Carder,WMU,2012,248,145,58.5,"1,652",13,5.2,10,--,123.7,Passing
Jeff Driskel,FLA,2012,245,156,63.7,"1,646",12,4.9,5,--,132.2,Passing
Josh Nunes,STAN,2012,235,124,52.8,"1,643",10,4.3,7,--,119.6,Passing
