Team,Conference,Year,Games,Win,Loss,Off.Yards.per.Game,Yards.Per.Game.Allowed,Touchdowns,Touchdowns.Allowed
Akron ,MAC,2013,12,5,7,342,397,31,44
Alabama ,SEC,2013,13,11,2,454.1,286.5,65,23
Arizona ,Pac-12,2013,13,8,5,458.5,401.1,57,39
Arizona State,Pac-12,2013,14,10,4,457.3,372.4,69,48
Arkansas ,SEC,2013,12,3,9,357.2,413.4,30,49
Arkansas State ,Sun Belt,2013,13,8,5,407.8,413.1,48,43
Army West Point ,FBS Independent,2013,12,3,9,387.3,410.8,38,49
Auburn ,SEC,2013,14,12,2,501.3,420.7,73,41
Ball State ,MAC,2013,13,10,3,477.1,413.8,64,39
Baylor ,Big 12,2013,13,11,2,618.8,360.3,91,41
Boston College ,ACC,2013,13,7,6,367.2,429,43,48
Bowling Green ,MAC,2013,14,10,4,459.4,321.4,62,29
Buffalo ,MAC,2013,13,8,5,394.7,382.8,51,40
BYU ,FBS Independent,2013,13,8,5,493.6,378.8,47,33
California ,Pac-12,2013,12,1,11,453.6,529.6,32,72
Central Michigan,MAC,2013,12,6,6,341.1,405.2,35,43
Cincinnati ,AAC,2013,13,9,4,472.1,315.6,57,34
Clemson ,ACC,2013,13,11,2,507.7,356.7,69,37
Colorado ,Pac-12,2013,12,4,8,369.9,468,36,58
Duke ,ACC,2013,14,10,4,426.1,418,60,48
East Carolina ,C-USA,2013,13,10,3,468.2,368.8,68,39
Eastern Michigan ,MAC,2013,12,2,10,336.1,510.8,30,71
Florida International ,C-USA,2013,12,1,11,219,429.7,13,57
Florida Atlantic ,C-USA,2013,12,6,6,381.3,325.9,41,32
Florida ,SEC,2013,12,4,8,316.7,314.3,27,27
Florida State ,ACC,2013,14,14,0,519.1,281.4,94,21
Georgia ,SEC,2013,13,8,5,484.2,375.5,58,47
Georgia Tech ,ACC,2013,13,7,6,429.7,360.2,61,38
Houston ,AAC,2013,13,8,5,419.5,415.8,54,34
Idaho ,FBS Independent,2013,12,1,11,368.3,529.4,27,76
Illinois ,Big Ten,2013,12,4,8,426.7,481.5,45,55
Indiana ,Big Ten,2013,12,5,7,508.5,527.9,62,63
Iowa ,Big Ten,2013,13,8,5,377,303.1,42,30
Iowa State,Big 12,2013,12,3,9,363,463.1,37,56
Kansas ,Big 12,2013,12,3,9,294.5,432.6,22,48
Kansas State ,Big 12,2013,13,8,5,402.7,358.8,56,35
Kent State,MAC,2013,12,4,8,368.9,409.9,31,40
Kentucky ,SEC,2013,12,2,10,341.2,427.2,30,49
Louisiana-Monroe ,Sun Belt,2013,12,6,6,360.3,426.8,36,46
Louisiana ,Sun Belt,2013,13,9,4,416.8,393.5,59,43
Louisiana Tech ,C-USA,2013,12,4,8,366.2,408.3,25,39
Louisville ,AAC,2013,13,12,1,460.8,251.5,57,18
LSU ,SEC,2013,13,10,3,453.3,340.7,61,32
Marshall ,C-USA,2013,14,10,4,500.4,368.6,80,40
Maryland ,ACC,2013,13,7,6,396.9,374.4,39,38
UMass,MAC,2013,12,1,11,281.6,433.3,15,50
Memphis ,AAC,2013,12,3,9,311.5,370.7,27,37
Miami ,FL),2013,13,9,4,425.8,426.4,57,43
Miami ,OH),2013,12,0,12,225.8,484.3,14,55
Michigan ,Big Ten,2013,13,7,6,373.5,371.5,52,40
Michigan State ,Big Ten,2013,14,13,1,385.5,252.2,51,21
Middle Tennessee,C-USA,2013,13,8,5,407.5,402.7,49,43
Minnesota ,Big Ten,2013,13,8,5,343.3,373.2,42,36
Mississippi State ,SEC,2013,13,7,6,434.4,349.3,48,36
Missouri ,SEC,2013,14,12,2,490.7,417.7,71,39
Navy ,FBS Independent,2013,13,9,4,411.3,394.8,58,41
NC State ,ACC,2013,12,3,9,403.5,399.4,31,48
Nebraska ,Big Ten,2013,13,9,4,412.4,370.8,54,38
New Mexico State ,FBS Independent,2013,12,2,10,385.2,549.5,32,71
North Carolina ,ACC,2013,13,7,6,425.7,403.2,55,38
North Texas ,C-USA,2013,13,9,4,410.5,348.3,55,30
Northern Illinois,MAC,2013,14,12,2,519.8,414.9,71,43
Northwestern ,Big Ten,2013,12,5,7,399.6,423.5,35,40
Notre Dame ,FBS Independent,2013,13,9,4,406.2,366.2,42,34
Ohio ,MAC,2013,13,7,6,379.4,405.8,43,46
Ohio State,Big Ten,2013,14,12,2,511.9,377.4,87,42
Oklahoma ,Big 12,2013,13,11,2,423,350.2,50,36
Oklahoma State,Big 12,2013,13,10,3,448.8,384.9,68,33
Ole Miss ,,2013,13,8,5,473.3,370.5,49,38
Oregon ,Pac-12,2013,13,11,2,565,370.1,81,32
Oregon State,Pac-12,2013,13,7,6,467,436.6,59,51
Penn State,Big Ten,2013,12,7,5,433.2,381.3,43,38
Pittsburgh ,ACC,2013,13,7,6,362.2,367.5,43,43
Purdue ,Big Ten,2013,12,1,11,282.9,459.9,23,61
Rice ,C-USA,2013,14,10,4,405.6,364.1,54,43
Rutgers ,AAC,2013,13,6,7,365.2,412.8,44,49
SMU ,AAC,2013,12,5,7,435.2,412.6,38,54
South Alabama ,Sun Belt,2013,12,6,6,425.5,384.3,43,36
South Carolina ,SEC,2013,13,11,2,452.3,350,57,32
South Florida,AAC,2013,12,2,10,255.5,350.8,16,43
USC,Pac-12,2013,14,10,4,399.9,335.2,53,39
Southern Mississippi,C-USA,2013,12,1,11,315.5,435.5,24,68
Stanford ,Pac-12,2013,14,11,3,405.4,343.1,56,31
Syracuse ,ACC,2013,13,7,6,376.8,367.2,38,42
TCU ,Big 12,2013,12,4,8,344.8,356.4,37,33
Temple ,AAC,2013,12,2,10,399,473.6,42,42
Tennessee ,SEC,2013,12,5,7,353.3,418.4,35,46
Texas ,Big 12,2013,13,8,5,408.7,407.2,46,39
Texas A&M ,SEC,2013,13,9,4,538.4,475.8,78,55
Texas State,Sun Belt,2013,12,6,6,326.3,396.7,37,41
Texas Tech ,Big 12,2013,13,8,5,511,418.5,57,51
Toledo ,MAC,2013,12,7,5,447.3,421.8,49,45
Troy ,Sun Belt,2013,12,6,6,463.3,483.2,54,58
Tulane ,C-USA,2013,13,7,6,311.8,352.1,39,33
Tulsa ,C-USA,2013,12,3,9,356.2,429.6,29,52
UAB ,C-USA,2013,12,2,10,392.9,497.8,38,71
Central Florida,AAC,2013,13,12,1,441.5,362,55,36
UCLA ,Pac-12,2013,13,10,3,448.5,387.1,63,37
UConn ,AAC,2013,12,3,9,318.6,384.6,31,46
Utah ,Pac-12,2013,12,5,7,396.6,397.7,43,41
Texas-El Paso,C-USA,2013,12,2,10,347.9,468.3,34,62
Vanderbilt ,SEC,2013,13,9,4,366.5,354.8,49,40
Virginia ,ACC,2013,12,2,10,368.4,403.6,27,51
Virginia Tech ,ACC,2013,13,8,5,356,283.6,35,31
Wake Forest ,ACC,2013,12,4,8,290.7,366.2,28,36
Washington ,Pac-12,2013,13,9,4,499.3,388.5,64,37
Washington State,Pac-12,2013,13,6,7,421.4,458,51,52
West Virginia ,Big 12,2013,12,4,8,411,455,38,48
Western Kentucky,Sun Belt,2013,12,8,4,458.5,339.2,47,37
Western Michigan,MAC,2013,12,1,11,327.2,419.2,23,55
Wisconsin ,Big Ten,2013,13,9,4,480.8,305.1,59,25
Akron ,MAC,2014,12,5,7,373.3,371.1,33,35
Alabama ,SEC,2014,14,12,2,484.5,328.4,68,27
Arizona ,Pac-12,2014,14,10,4,463.6,451,61,49
Arizona State ,Pac-12,2014,13,10,3,442.3,417.1,59,46
Arkansas ,SEC,2014,13,7,6,406,323.4,56,33
Arkansas State ,Sun Belt,2014,13,7,6,476.5,421.2,65,54
Army West Point ,FBS Independent,2014,12,4,8,358.8,430.8,40,50
Auburn ,SEC,2014,13,8,5,485,398.8,58,45
Ball State ,MAC,2014,12,5,7,369.3,428.8,37,42
Baylor ,Big 12,2014,13,11,2,581.5,381.8,82,43
Boston College ,ACC,2014,13,7,6,384,324.2,45,34
Bowling Green ,MAC,2014,14,8,6,432.9,493.6,51,62
Buffalo ,MAC,2014,11,5,6,438.2,397.7,49,47
BYU ,FBS Independent,2014,13,8,5,460.5,391.5,63,44
California ,Pac-12,2014,12,5,7,495.2,511.8,61,63
Central Michigan,MAC,2014,13,7,6,398.1,355.5,47,40
Cincinnati ,AAC,2014,13,9,4,460.2,439.1,57,42
Clemson ,ACC,2014,13,10,3,408.3,260.8,48,27
