Player,Year,Team,Stat Type
Joseph Gedeon,2016,IND,Punting
Jack Sheldon,2016,CMU,Punting
Ryan Frain,2016,ILL,Punting
Sam Geraci,2016,CINN,Punting
Kaare Vedvik,2016,MRSH,Punting
Logan Cooke,2016,MSST,Punting
Brandon Wright,2016,GAST,Punting
Wade Lees,2016,MD,Punting
Kyle Deween,2016,BUFF,Punting
Caleb Lightbourn,2016,NEB,Punting
Grant McKinniss,2016,KY,Punting
Jamie Sackville,2016,SMU,Punting
Adam Nunez,2016,TCU,Punting
Tom Sheldon,2017,UNC,Punting
Ryan Winslow,2017,PITT,Punting
Pressley Harvin III,2017,GT,Punting
Dom Maggio,2017,WF,Punting
Lester Coleman,2017,UVA,Punting
A.J. Cole III,2017,NCST,Punting
Mason King,2017,LOU,Punting
Sterling Hofrichter,2017,SYR,Punting
Logan Tyler,2017,FSU,Punting
Oscar Bradburn,2017,VT,Punting
Austin Parker,2017,DUKE,Punting
Will Spiers,2017,CLEM,Punting
Mike Knoll,2017,BC,Punting
Zach Feagles,2017,MIA,Punting
Braden Mann,2018,TAMU,Punting
Ryan Stonehouse,2018,CSU,Punting
Brandon Wright,2018,GAST,Punting
Will Hart,2018,MICH,Punting
James Smith,2018,CINN,Punting
Tom Bennett,2018,TULS,Punting
Stefan Flintoft,2018,UCLA,Punting
Oscar Draguicevich,2018,WSU,Punting
Zach Von Rosenberg,2018,LSU,Punting
Jack Fox,2018,RICE,Punting
Tommy Townsend,2018,FLA,Punting
Mitch Wishnowsky,2018,UTAH,Punting
Tyler Sumpter,2018,TROY,Punting
Parker Thome,2018,VAN,Punting
Joseph Charlton,2018,SCAR,Punting
Max Duffy,2018,KY,Punting
Tyler Newsome,2018,ND,Punting
Corey Fatony,2018,MIZZ,Punting
Tyson Dyer,2018,UNM,Punting
Arryn Siposs,2018,AUB,Punting
Bryce Crawford,2018,SJSU,Punting
Jake Bailey,2018,STAN,Punting
Stone Wilson,2018,FIU,Punting
Ryan Wright,2018,TULN,Punting
Michael Sleep-Dalton,2018,AZST,Punting
Hayes Hicken,2018,UNLV,Punting
Blake Gillikin,2018,PSU,Punting
Clayton Howell,2018,APST,Punting
Quinton Conaway,2018,NEV,Punting
Blake Hayes,2018,ILL,Punting
Mac Loudermilk,2018,UCF,Punting
Michael Farkas,2018,OHIO,Punting
Jake Julien,2018,EMU,Punting
Kyle Thompson,2018,KAN,Punting
Logan Tyler,2018,FSU,Punting
Drue Chrisman,2018,OSU,Punting
Charles Ouverson,2018,CCU,Punting
Adam Williams,2018,MEM,Punting
Yannis Routsas,2018,UTSA,Punting
Luke Magliozzi,2018,CONN,Punting
Trent Schneider,2018,USF,Punting
Sterling Hofrichter,2018,SYR,Punting
Adam Korsak,2018,RUT,Punting
Joe Schopper,2018,PUR,Punting
Oscar Bradburn,2018,VT,Punting
Jake Camarda,2018,UGA,Punting
Blake Maimone,2018,ORE,Punting
Connor Bowler,2018,TEM,Punting
Drew Galitz,2018,BAY,Punting
A.J. Cole III,2018,NCST,Punting
Alvin Kenworthy,2018,UNT,Punting
Blake Cusick,2018,FRES,Punting
Isaac Armstrong,2018,NEB,Punting
Dylan Klumph,2018,ARIZ,Punting
Jared Porter,2018,ULM,Punting
Dominic Panazzolo,2018,TTU,Punting
Dane Roy,2018,HOU,Punting
Evan Finegan,2018,BUFF,Punting
Kyle Kramer,2018,MIOH,Punting
Daniel Rodriguez,2018,ORST,Punting
Brandon Heicklen,2018,SDSU,Punting
Dom Maggio,2018,WF,Punting
Lester Coleman,2018,UVA,Punting
Corliss Waitman,2018,USA,Punting
Owen White,2018,NAVY,Punting
Steven Coutts,2018,CAL,Punting
Kirk Christodoulou,2018,PITT,Punting
Austin Parker,2018,DUKE,Punting
Matt Bonadies,2018,MTSU,Punting
Pressley Harvin III,2018,GT,Punting
Mac Brown,2018,MISS,Punting
Jacob Herbers,2018,MINN,Punting
Matt Naranjo,2018,BGSU,Punting
Davan Dyer,2018,LT,Punting
Joe Doyle,2018,TENN,Punting
Robert LeFevre,2018,MRSH,Punting
Billy Kinney,2018,WVU,Punting
Kyle Corbett,2018,CHAR,Punting
Bailey Flint,2018,TOL,Punting
Wade Lees,2018,MD,Punting
Stan Gaudion,2018,HAW,Punting
Cody Grace,2018,ARST,Punting
Mason King,2018,LOU,Punting
Jake Collins,2018,NW,Punting
Payton Theisler,2018,NMST,Punting
Jonn Young,2018,ECU,Punting
Jack Sheldon,2018,CMU,Punting
Matt Ference,2018,NIU,Punting
Rhett Almond,2018,BYU,Punting
Ryan Bujcevski,2018,TEX,Punting
Taylor Hintze,2018,USU,Punting
Grant Carlson,2018,BC,Punting
Corey Dunn,2018,IAST,Punting
Derek Adams,2018,KENT,Punting
Tyler Hunt,2018,MSU,Punting
Rhys Byrns,2018,LA,Punting
Kyle Greenwell,2018,UAB,Punting
Haydon Whitehead,2018,IND,Punting
Bailey Cate,2018,ODU,Punting
Hunter Lent,2018,UNC,Punting
