Player,Team,Year,Att,Gain,Loss,Yds,Avg,TD,Stat Type
Todd Gurley,UGA,2012,222,"1,415",30,"1,385",6.24,17,Rushing
Venric Mark,NW,2012,226,"1,416",50,"1,366",6.04,12,Rushing
George Winn,CINN,2012,243,"1,370",36,"1,334",5.49,13,Rushing
Eddie Lacy,ALA,2012,204,"1,360",38,"1,322",6.48,17,Rushing
Trayion Durham,KENT,2012,276,"1,346",30,"1,316",4.77,14,Rushing
Zach Line,SMU,2012,277,"1,325",47,"1,278",4.61,13,Rushing
Braxton Miller,OSU,2012,227,"1,524",253,"1,271",5.6,13,Rushing
Denard Robinson,MICH,2012,177,"1,350",84,"1,266",7.15,7,Rushing
Cody Getz,AF,2012,198,"1,278",30,"1,248",6.3,9,Rushing
Trent Steelman,ARMY,2012,241,"1,333",85,"1,248",5.18,17,Rushing
Tim Cornett,UNLV,2012,242,"1,268",36,"1,232",5.09,7,Rushing
Giovani Bernard,UNC,2012,184,"1,270",42,"1,228",6.67,12,Rushing
Raymond Maples,ARMY,2012,223,"1,270",55,"1,215",5.45,2,Rushing
Kenneth Dixon,LT,2012,200,"1,228",34,"1,194",5.97,27,Rushing
Jerome Smith,SYR,2012,227,"1,207",36,"1,171",5.16,3,Rushing
Mike Gillislee,FLA,2012,244,"1,187",35,"1,152",4.72,10,Rushing
Zac Stacy,VAN,2012,207,"1,198",57,"1,141",5.51,10,Rushing
Ameer Abdullah,NEB,2012,226,"1,193",56,"1,137",5.03,8,Rushing
D.J. Harper,BSU,2012,228,"1,207",70,"1,137",4.99,15,Rushing
Cody Fajardo,NEV,2012,190,"1,270",149,"1,121",5.9,12,Rushing
Trey Watts,TULS,2012,186,"1,132",24,"1,108",5.96,3,Rushing
T.J. Yeldon,ALA,2012,175,"1,131",23,"1,108",6.33,12,Rushing
Latavius Murray,UCF,2012,198,"1,137",31,"1,106",5.59,15,Rushing
Andre Ellington,CLEM,2012,212,"1,104",23,"1,081",5.1,8,Rushing
Jawan Jamison,RUT,2012,255,"1,154",79,"1,075",4.22,4,Rushing
David Oku,ARST,2012,243,"1,105",44,"1,061",4.37,16,Rushing
Montel Harris,TEM,2012,186,"1,087",33,"1,054",5.67,12,Rushing
Vintavious Cooper,ECU,2012,200,"1,084",35,"1,049",5.25,7,Rushing
Ray Graham,PITT,2012,222,"1,077",35,"1,042",4.69,11,Rushing
John White IV,UTAH,2012,218,"1,085",44,"1,041",4.78,8,Rushing
Darrin Reaves,UAB,2012,215,"1,075",38,"1,037",4.82,13,Rushing
DeLeon Eskridge,SJSU,2012,207,"1,060",35,"1,025",4.95,11,Rushing
Kendial Lawrence,MIZZ,2012,200,"1,102",77,"1,025",5.12,12,Rushing
LaDarius Perkins,MSST,2012,205,"1,061",37,"1,024",5.0,8,Rushing
Taylor Martinez,NEB,2012,195,"1,317",298,"1,019",5.23,10,Rushing
James Sims,KAN,2012,218,"1,048",35,"1,013",4.65,9,Rushing
Lache Seastrunk,BAY,2012,131,"1,031",19,"1,012",7.73,7,Rushing
Shawn Southward,TROY,2012,194,"1,041",29,"1,012",5.22,10,Rushing
Tre Mason,AUB,2012,171,"1,038",36,"1,002",5.86,8,Rushing
Zach Zwinak,PSU,2012,203,"1,007",7,"1,000",4.93,6,Rushing
Anthon Samuel,BGSU,2012,202,"1,064",66,998,4.94,11,Rushing
Carlos Hyde,OSU,2012,185,995,25,970,5.24,16,Rushing
Jawon Chisholm,AKR,2012,180,993,40,953,5.29,5,Rushing
Dareyon Chance,WMU,2012,176,956,9,947,5.38,4,Rushing
John Hubert,KSST,2012,189,995,48,947,5.01,15,Rushing
Duke Johnson,MIA,2012,139,977,30,947,6.81,10,Rushing
Damien Williams,OKLA,2012,176,"1,006",60,946,5.38,11,Rushing
Storm Woods,ORST,2012,192,965,25,940,4.9,13,Rushing
Ja'Terian Douglas,TULS,2012,137,974,38,936,6.83,7,Rushing
Donnell Kirkwood,MINN,2012,218,958,32,926,4.25,6,Rushing
Collin Klein,KSST,2012,207,"1,041",121,920,4.44,23,Rushing
Theo Riddick,ND,2012,190,943,26,917,4.83,5,Rushing
Bronson Hill,EMU,2012,140,934,24,910,6.5,6,Rushing
Silas Redd,USC,2012,167,940,35,905,5.42,9,Rushing
Nathan Jeffery,UTEP,2012,184,920,23,897,4.88,7,Rushing
Kain Colter,NW,2012,170,996,102,894,5.26,12,Rushing
Glasco Martin,BAY,2012,179,906,17,889,4.97,15,Rushing
Alonzo Harris,ULL,2012,170,914,33,881,5.18,10,Rushing
Gee Gee Greene,NAVY,2012,120,913,36,877,7.31,3,Rushing
Akeem Shavers,PUR,2012,181,920,49,871,4.81,6,Rushing
Brandin Byrd,UNT,2012,205,910,50,860,4.2,4,Rushing
Lyle McCombs,CONN,2012,243,913,53,860,3.54,6,Rushing
Andrew Buie,WVU,2012,179,914,63,851,4.75,7,Rushing
Jordan Parker,MTSU,2012,166,873,22,851,5.13,3,Rushing
Charles Sims,HOU,2012,142,860,9,851,5.99,11,Rushing
Jeff Scott,MISS,2012,197,900,54,846,4.29,6,Rushing
Larry Dixon,ARMY,2012,140,840,1,839,5.99,6,Rushing
Prince-Tyson Gulley,SYR,2012,158,859,29,830,5.25,9,Rushing
Kenny Williams,TTU,2012,143,859,35,824,5.76,5,Rushing
Jeremy Wright,LOU,2012,211,910,86,824,3.91,10,Rushing
Walter Kazee,SDSU,2012,161,840,18,822,5.11,8,Rushing
Branden Oliver,BUFF,2012,148,842,21,821,5.55,5,Rushing
Mark Weisman,IOWA,2012,159,837,22,815,5.13,8,Rushing
Ben Malena,TAMU,2012,138,826,18,808,5.86,8,Rushing
James White,WISC,2012,125,840,34,806,6.45,12,Rushing
Charles Ross,RICE,2012,147,829,29,800,5.44,5,Rushing
Alex Singleton,TULS,2012,202,818,18,800,3.96,24,Rushing
C.J. Anderson,CAL,2012,126,814,24,790,6.27,4,Rushing
Jamaal Williams,BYU,2012,166,802,27,775,4.67,12,Rushing
