Player,Year,Team,Stat Type
Chris Callahan,2015,BAY,Kicking
Ka'imi Fairbairn,2015,UCLA,Kicking
Jameson Vest,2015,TOL,Kicking
Matt Anderson,2015,CAL,Kicking
Taylor Bertolet,2015,TAMU,Kicking
Andrew Haldeman,2015,WMU,Kicking
Zach Matics,2015,APST,Kicking
Nick Smith,2015,MRSH,Kicking
Kenny Allen,2015,MICH,Kicking
Tyler Tate,2015,BGSU,Kicking
Emilio Nadelman,2015,USF,Kicking
Westin Graves,2015,MSST,Kicking
Cameron Van Winkle,2015,WASH,Kicking
Clayton Hatfield,2015,TTU,Kicking
Marshall Koehn,2015,IOWA,Kicking
Justin Yoon,2015,ND,Kicking
Rafael Gaglianone,2015,WISC,Kicking
Austin Grebe,2015,NAVY,Kicking
Christian Hagan,2015,NIU,Kicking
Trevor Samson,2015,BYU,Kicking
Cody Clark,2015,MTSU,Kicking
Marshall Morgan,2015,UGA,Kicking
Josiah Yazdani,2015,OHIO,Kicking
Wyatt Bryan,2015,CSU,Kicking
John Wallace,2015,LOU,Kicking
Diego Gonzalez,2015,COL,Kicking
Brent Zuzo,2015,NEV,Kicking
Trent Domingue,2015,LSU,Kicking
Chris Blewitt,2015,PITT,Kicking
Michael Geiger,2015,MSU,Kicking
Brian Eavey,2015,CMU,Kicking
Elliott Fry,2015,SCAR,Kicking
Ian Frye,2015,UVA,Kicking
Cole Hedlund,2015,ARK,Kicking
Cole Murphy,2015,SYR,Kicking
Jed Solomon,2015,TROY,Kicking
Greg Joseph,2015,FAU,Kicking
Ryan Santoso,2015,MINN,Kicking
Stephen Brauchle,2015,USM,Kicking
Robert Stein,2015,AKR,Kicking
Aleem Sunanon,2015,USA,Kicking
Alex Wood,2015,USC,Kicking
Nicolai Bornand,2015,UNLV,Kicking
Morgan Hagee,2015,BALL,Kicking
J.D. Houston,2015,ARST,Kicking
Taylor Zalewski,2015,ILL,Kicking
Wil Lutz,2015,GAST,Kicking
Cole Netten,2015,IAST,Kicking
Nick Rose,2015,TEX,Kicking
Kyle Bambard,2015,NCST,Kicking
Ty Cummings,2015,HOU,Kicking
Kyle Federico,2015,RUT,Kicking
Adam Mitcheson,2015,BUFF,Kicking
Dylan Mulder,2015,EMU,Kicking
Bobby Puyol,2015,CONN,Kicking
Jay Mattox,2015,UTEP,Kicking
Chad Hedlund,2015,SMU,Kicking
Davis Plowman,2015,ECU,Kicking
Luke Strebel,2015,AF,Kicking
Blake Brewer,2015,CHAR,Kicking
Austin Lopez,2015,SJSU,Kicking
Jack Mitchell,2015,NW,Kicking
Jack Willoughby,2015,OSU,Kicking
Harrison Butker,2015,GT,Kicking
Jack Cantele,2015,KSST,Kicking
Andrew Baggett,2015,MIZZ,Kicking
Brock Warren,2015,USU,Kicking
Austin Taylor,2015,FIU,Kicking
Austin MacGinnis,2015,KY,Kicking
Jonathan Barnes,2016,LT,Kicking
Redford Jones,2016,TULS,Kicking
Adam Griffith,2016,ALA,Kicking
Daniel Carlson,2016,AUB,Kicking
Tyler Davis,2016,PSU,Kicking
Butch Hampton,2016,WMU,Kicking
Cameron Van Winkle,2016,WASH,Kicking
Louie Zervos,2016,OHIO,Kicking
Jake Elliott,2016,MEM,Kicking
Austin Rehkow,2016,IDHO,Kicking
John Baron II,2016,SDSU,Kicking
Skyler Simcox,2016,WKU,Kicking
Joey Slye,2016,VT,Kicking
Ben Grogan,2016,OKST,Kicking
Luke Strebel,2016,AF,Kicking
Michael Badgley,2016,MIA,Kicking
Tyler Durbin,2016,OSU,Kicking
Greg Huegel,2016,CLEM,Kicking
Canon Rooker,2016,MTSU,Kicking
Matt Anderson,2016,CAL,Kicking
Kenny Allen,2016,MICH,Kicking
Emmit Carpenter,2016,MINN,Kicking
Ricky Aguayo,2016,FSU,Kicking
Zane Gonzalez,2016,AZST,Kicking
Matt Boermeester,2016,USC,Kicking
Gary Wunderlich,2016,MISS,Kicking
Andy Phillips,2016,UTAH,Kicking
Daniel LaCamera,2016,TAMU,Kicking
Austin Seibert,2016,OKLA,Kicking
Clayton Hatfield,2016,TTU,Kicking
Ty Cummings,2016,HOU,Kicking
Cooper Rothe,2016,WYO,Kicking
Ryan Kay,2016,TROY,Kicking
Conrad Ukropina,2016,STAN,Kicking
Jameson Vest,2016,TOL,Kicking
Paul Fricano,2016,EMU,Kicking
Jason Sanders,2016,UNM,Kicking
Chris Blewitt,2016,PITT,Kicking
Mike Molina,2016,WVU,Kicking
Nick Weiler,2016,UNC,Kicking
Eddy Pineiro,2016,FLA,Kicking
Aaron Medley,2016,TENN,Kicking
Austin MacGinnis,2016,KY,Kicking
Michael Rubino,2016,APST,Kicking
Harrison Butker,2016,GT,Kicking
Mike Weaver,2016,WF,Kicking
Rhett Almond,2016,BYU,Kicking
Erik Powell,2016,WSU,Kicking
Matthew Wright,2016,UCF,Kicking
Bennett Moehring,2016,NAVY,Kicking
Rigoberto Sanchez,2016,HAW,Kicking
Blanton Creque,2016,LOU,Kicking
Stevie Artigue,2016,LA,Kicking
Wyatt Bryan,2016,CSU,Kicking
Trent Domingue,2016,TEX,Kicking
Younghoe Koo,2016,GSU,Kicking
Tyler Rausa,2016,BSU,Kicking
Josh Williams,2016,SMU,Kicking
Chris Callahan,2016,BAY,Kicking
Cole Netten,2016,IAST,Kicking
Justin Yoon,2016,ND,Kicking
Morgan Hagee,2016,BALL,Kicking
Westin Graves,2016,MSST,Kicking
Griffin Oakes,2016,IND,Kicking
Evan Pantels,2016,UNLV,Kicking
Davis Plowman,2016,ECU,Kicking
Bryce Crawford,2016,SJSU,Kicking
Victor Falcon,2016,UTSA,Kicking
Christian Hagan,2016,NIU,Kicking
Parker Shaunfield,2016,USM,Kicking
Brad Davis,2016,ODU,Kicking
Michael Geiger,2016,MSU,Kicking
Aaron Boumerhi,2016,TEM,Kicking
Drew Brown,2016,NEB,Kicking
Parker Davidson,2016,NMST,Kicking
Andrew Endicott,2016,WISC,Kicking
Colby Delahoussaye,2016,LSU,Kicking
Shane Hynes,2016,KENT,Kicking
Emilio Nadelman,2016,USF,Kicking
J.D. Houston,2016,ARST,Kicking
Gavin Patterson,2016,USA,Kicking
Elliott Fry,2016,SCAR,Kicking
Austin Taylor,2016,FIU,Kicking
Greg Joseph,2016,FAU,Kicking
Tom O'Leary,2016,AKR,Kicking
Aidan Schneider,2016,ORE,Kicking
Rodrigo Blankenship,2016,UGA,Kicking
Trevor Moore,2016,UNT,Kicking
Kody Kroening,2016,FRES,Kicking
Garrett Owens,2016,ORST,Kicking
Brian Eavey,2016,CMU,Kicking
Brandon Hatfield,2016,TCU,Kicking
Jack Mitchell,2016,NW,Kicking
Cole Murphy,2016,SYR,Kicking
J.D. Dellinger,2016,PUR,Kicking
Keith Duncan,2016,IOWA,Kicking
Matthew Wyman,2016,KAN,Kicking
Adam Greene,2016,MD,Kicking
Mike Knoll,2016,BC,Kicking
JJ Molson,2016,UCLA,Kicking
Matt Ammendola,2017,OKST,Kicking
Austin Seibert,2017,OKLA,Kicking
Jameson Vest,2017,TOL,Kicking
Matt Gay,2017,UTAH,Kicking
Daniel Carlson,2017,AUB,Kicking
Rodrigo Blankenship,2017,UGA,Kicking
Sean Nuernberger,2017,OSU,Kicking
Matthew Wright,2017,UCF,Kicking
Jonathan Barnes,2017,LT,Kicking
Jet Toner,2017,STAN,Kicking
Jimmy Camacho,2017,FRES,Kicking
Trevor Moore,2017,UNT,Kicking
Emilio Nadelman,2017,USF,Kicking
Mike Weaver,2017,WF,Kicking
Matthew McCrane,2017,KSST,Kicking
Haden Hoggarth,2017,BSU,Kicking
Andy Pappanastos,2017,ALA,Kicking
Blanton Creque,2017,LOU,Kicking
Greg Joseph,2017,FAU,Kicking
Rafael Gaglianone,2017,WISC,Kicking
Erik Powell,2017,WSU,Kicking
Brandon Ruiz,2017,AZST,Kicking
Louie Zervos,2017,OHIO,Kicking
Daniel LaCamera,2017,TAMU,Kicking
Austin MacGinnis,2017,KY,Kicking
Dominik Eberle,2017,USU,Kicking
JJ Molson,2017,UCLA,Kicking
Wyatt Bryan,2017,CSU,Kicking
Tyler Davis,2017,PSU,Kicking
Justin Yoon,2017,ND,Kicking
Ricky Aguayo,2017,FSU,Kicking
Michael Badgley,2017,MIA,Kicking
Tucker McCann,2017,MIZZ,Kicking
Garrett Owens,2017,IAST,Kicking
