Player,Year,Team,Stat Type
Andy Phillips,2015,UTAH,Kickoff
Matt Anderson,2015,CAL,Kickoff
Austin Grebe,2015,NAVY,Kickoff
Kenny Allen,2015,MICH,Kickoff
Drew Brown,2015,NEB,Kickoff
Amoreto Curraj,2015,MRSH,Kickoff
Canon Rooker,2015,MTSU,Kickoff
Tristan Vizcaino,2015,WASH,Kickoff
Austin Brasher,2015,BYU,Kickoff
Jason Sanders,2015,UNM,Kickoff
Nick O'Toole,2015,WVU,Kickoff
Joey Slye,2015,VT,Kickoff
John Wallace,2015,LOU,Kickoff
Austin Rehkow,2015,IDHO,Kickoff
Tyler Mayes,2015,TEM,Kickoff
Jackson Maples,2015,NCST,Kickoff
Ross Martin,2015,DUKE,Kickoff
Taylor Bertolet,2015,TAMU,Kickoff
Daniel Carlson,2015,AUB,Kickoff
Chris Blewitt,2015,PITT,Kickoff
Braxton Davis,2015,CSU,Kickoff
Ammon Lakip,2015,CLEM,Kickoff
Erik Powell,2015,WSU,Kickoff
Clayton Hatfield,2015,TTU,Kickoff
Jake Thompson,2015,USU,Kickoff
Josiah Yazdani,2015,OHIO,Kickoff
Younghoe Koo,2015,GSU,Kickoff
Brent Zuzo,2015,NEV,Kickoff
Wil Lutz,2015,GAST,Kickoff
Jake Bailey,2015,STAN,Kickoff
Nicolai Bornand,2015,UNLV,Kickoff
Chris Graham,2015,COL,Kickoff
Nick Rose,2015,TEX,Kickoff
Tyler Grassman,2015,BUFF,Kickoff
Lumi Kaba,2015,TXST,Kickoff
Ian Patterson,2015,KSST,Kickoff
Harrison Butker,2015,GT,Kickoff
Jon Semerene,2015,MIA,Kickoff
Greg Joseph,2015,FAU,Kickoff
Ron Coluzzi,2015,CMU,Kickoff
Chad Hedlund,2015,SMU,Kickoff
Jed Solomon,2015,TROY,Kickoff
Dylan Sims,2015,UVA,Kickoff
Robert Stein,2015,AKR,Kickoff
Landon Ard,2015,SCAR,Kickoff
Ryan Norton,2015,SYR,Kickoff
Caleb Pratt,2015,ECU,Kickoff
